##Temp./°C	DSC/(mW/mg)
	GFP
249,32889	0,185094074094358
249,57889	0,185114074094358
249,82889	0,185714074094358
250,07889	0,184964074094358
250,32889	0,185974074094358
250,57889	0,185724074094358
250,82889	0,185994074094358
251,07889	0,186184074094358
251,32889	0,186214074094358
251,57889	0,186524074094358
251,82889	0,186994074094358
252,07889	0,186664074094358
252,32889	0,187294074094358
252,57889	0,187684074094358
252,82889	0,187204074094358
253,07889	0,187744074094358
253,32889	0,187804074094358
253,57889	0,187724074094358
253,82889	0,188064074094358
254,07889	0,188424074094358
254,32889	0,188074074094358
254,57889	0,188394074094358
254,82889	0,188364074094358
255,07889	0,189474074094358
255,32889	0,189084074094358
255,57889	0,189424074094358
255,82889	0,189694074094358
256,07889	0,189914074094358
256,32889	0,189184074094358
256,57889	0,189824074094358
256,82889	0,190324074094358
257,07889	0,190774074094358
257,32889	0,190614074094358
257,57889	0,190634074094358
257,82889	0,190944074094358
258,07889	0,190324074094358
258,32889	0,190544074094358
258,57889	0,191684074094358
258,82889	0,191314074094358
259,07889	0,191724074094358
259,32889	0,191294074094358
259,57889	0,191624074094358
259,82889	0,192164074094358
260,07889	0,192064074094358
260,32889	0,192064074094358
260,57889	0,192324074094358
260,82889	0,192574074094358
261,07889	0,192954074094358
261,32889	0,192924074094358
261,57889	0,193334074094358
261,82889	0,193234074094358
262,07889	0,193674074094358
262,32889	0,193414074094358
262,57889	0,193754074094358
262,82889	0,193724074094358
263,07889	0,193924074094358
263,32889	0,194644074094358
263,57889	0,193894074094358
263,82889	0,194214074094358
264,07889	0,194854074094358
264,32889	0,194924074094358
264,57889	0,195074074094358
264,82889	0,195384074094358
265,07889	0,195434074094358
265,32889	0,195304074094358
265,57889	0,195134074094358
265,82889	0,195994074094358
266,07889	0,195624074094358
266,32889	0,196364074094358
266,57889	0,196294074094358
266,82889	0,197124074094358
267,07889	0,197144074094358
267,32889	0,197184074094358
267,57889	0,197274074094358
267,82889	0,197684074094358
268,07889	0,199744074094358
268,32889	0,199184074094358
268,57889	0,198914074094358
268,82889	0,198654074094358
269,07889	0,197774074094358
269,32889	0,198584074094358
269,57889	0,198354074094358
269,82889	0,198234074094358
270,07889	0,198424074094358
270,32889	0,198434074094358
270,57889	0,199414074094358
270,82889	0,199134074094358
271,07889	0,198974074094358
271,32889	0,199184074094358
271,57889	0,199424074094358
271,82889	0,199264074094358
272,07889	0,199674074094358
272,32889	0,199664074094358
272,57889	0,199704074094358
272,82889	0,199774074094358
273,07889	0,199884074094358
273,32889	0,200274074094358
273,57889	0,200484074094358
273,82889	0,201094074094358
274,07889	0,201054074094358
274,32889	0,200774074094358
274,57889	0,200554074094358
274,82889	0,201034074094358
275,07889	0,201414074094358
275,32889	0,201384074094358
275,57889	0,201814074094358
275,82889	0,201924074094358
276,07889	0,201614074094358
276,32889	0,202304074094358
276,57889	0,202084074094358
276,82889	0,202544074094358
277,07889	0,202424074094358
277,32889	0,202144074094358
277,57889	0,202564074094358
277,82889	0,203224074094358
278,07889	0,203504074094358
278,32889	0,203174074094358
278,57889	0,203824074094358
278,82889	0,203754074094358
279,07889	0,203754074094358
279,32889	0,204084074094358
279,57889	0,203934074094358
279,82889	0,203934074094358
280,07889	0,204484074094358
280,32889	0,204514074094358
280,57889	0,204894074094358
280,82889	0,205424074094358
281,07889	0,205344074094358
281,32889	0,205604074094358
281,57889	0,205214074094358
281,82889	0,205374074094358
282,07889	0,205804074094358
282,32889	0,205834074094358
282,57889	0,206224074094358
282,82889	0,206394074094358
283,07889	0,206324074094358
283,32889	0,206794074094358
283,57889	0,206734074094358
283,82889	0,206734074094358
284,07889	0,206774074094358
284,32889	0,207084074094358
284,57889	0,207334074094358
284,82889	0,207774074094358
285,07889	0,207894074094358
285,32889	0,207704074094358
285,57889	0,208424074094358
285,82889	0,207974074094358
286,07889	0,207984074094358
286,32889	0,208654074094358
286,57889	0,208254074094358
286,82889	0,208224074094358
287,07889	0,208964074094358
287,32889	0,209034074094358
287,57889	0,208814074094358
287,82889	0,208914074094358
288,07889	0,209214074094358
288,32889	0,209524074094358
288,57889	0,209294074094358
288,82889	0,209624074094358
289,07889	0,210164074094358
289,32889	0,210604074094358
289,57889	0,210384074094358
289,82889	0,210494074094358
290,07889	0,210514074094358
290,32889	0,211054074094358
290,57889	0,211534074094358
290,82889	0,211224074094358
291,07889	0,210684074094358
291,32889	0,211264074094358
291,57889	0,211224074094358
291,82889	0,211124074094358
292,07889	0,211804074094358
292,32889	0,212234074094358
292,57889	0,212194074094358
292,82889	0,212114074094358
